"event_type","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation"
"melt",0.343333333333333,0.6805,0.8325,0.183833333333333,0.990666666666667,0.981,0.963333333333333,0.0316666666666667,0.0316666666666667
"mixed",-0.3085,0.4535,0.62825,0.264,0.9685,0.93875,0.5775,0.1175,0.31
"sublimation",-1.47875,1.804,2.14425,0.398,0.963125,0.929,0.03125,0.275,0.70125
"wind",-1.3005,1.94916666666667,2.54266666666667,0.434166666666667,0.9375,0.879666666666667,0,0.843333333333333,0.171666666666667
