"","name","MB","MAE","RMSE","NRMSE","R","R2"
"1","simulated_new",0.001,0.323,0.686,1.459,0.68,0.463
"2","roesch2001",0.052,0.342,0.693,1.473,0.629,0.396
"3","ellis2010",0.098,0.344,0.789,1.677,0.482,0.232
"4","andreadis2009",0.145,0.391,0.856,1.82,0.335,0.112
