"","event_id","name","Mean Bias","MAE","RMS Error","NRMSE","R","r^2"
"71",2023-05-08,"simulated_roesch2001",-2.512,2.525,2.807,0.83,0.942,0.886
"72",2023-05-08,"simulated_updated",-0.918,0.995,1.167,0.345,0.968,0.937
"73",2023-06-15,"simulated_andreadis2009",-3.44,3.44,4.335,0.766,0.905,0.819
"74",2023-06-15,"simulated_baseline",-1.343,1.909,2.396,0.424,0.973,0.946
"75",2023-06-15,"simulated_roesch2001",-1.901,2.156,2.779,0.491,0.975,0.951
"76",2023-06-15,"simulated_updated",-1.454,1.532,1.977,0.349,0.957,0.915
"77",2023-06-21,"simulated_andreadis2009",-1.736,1.844,2.736,0.543,0.921,0.849
"78",2023-06-21,"simulated_baseline",0.469,1.503,1.678,0.333,0.87,0.757
"79",2023-06-21,"simulated_roesch2001",-0.398,1.432,1.685,0.334,0.934,0.873
"80",2023-06-21,"simulated_updated",-1.121,1.132,1.677,0.333,0.952,0.906
