"","name","MB","MAE","RMSE","NRMSE","R","R2"
"1","simulated_updated",0.018,0.313,0.664,1.397,0.691,0.477
"2","simulated_roesch2001",0.052,0.342,0.691,1.453,0.632,0.399
"3","simulated_baseline",0.099,0.346,0.788,1.656,0.483,0.233
"4","simulated_andreadis2009",0.147,0.394,0.856,1.801,0.334,0.111
