"event_type","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation"
"melt",0.328333333333333,0.686166666666667,0.841833333333333,0.188833333333333,0.9905,0.981,0.955,0.0316666666666667,0.04
"mixed",-0.19475,0.4255,0.57425,0.22925,0.957,0.9165,0.4375,0.1675,0.4
"sublimation",-1.0854,1.5817,1.9103,0.3773,0.9591,0.9213,0.025,0.259,0.721
"wind",-0.6525,2.40825,3.06975,0.34875,0.9525,0.9075,0,0.7425,0.2575
