"","name","event_id","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation"
"48","roesch2001",2023-02-26,-0.196,0.196,0.205,1.647,0.937,0.878,0,0.61,0.42
"49","simulated_new",2023-03-14,0.006,0.129,0.249,1.299,0.604,0.365,0,0.36,0.64
"50","andreadis2009",2023-03-14,0.008,0.131,0.251,1.31,0.597,0.357,0,0.36,0.64
"51","ellis2010",2023-03-14,0.008,0.137,0.256,1.336,0.563,0.317,0,0.36,0.64
"52","roesch2001",2023-03-14,0.008,0.188,0.306,1.599,0.443,0.196,0,0.36,0.64
"53","roesch2001",2023-04-17,-0.132,0.217,0.24,0.667,0.693,0.48,0,0.26,0.75
"54","simulated_new",2023-04-17,-0.131,0.226,0.269,0.747,0.519,0.269,0,0.26,0.75
"55","andreadis2009",2023-04-17,-0.036,0.279,0.336,0.934,-0.073,0.005,0,0.26,0.75
"56","ellis2010",2023-04-17,-0.122,0.356,0.488,1.357,-0.129,0.017,0,0.26,0.75
"57","simulated_new",2023-05-08,-0.068,0.371,0.453,0.397,0.933,0.871,1,0.01,-0.01
"58","ellis2010",2023-05-08,0.274,0.583,0.895,0.784,0.849,0.721,1,0.01,-0.01
"59","roesch2001",2023-05-08,0.23,0.654,0.914,0.8,0.873,0.763,1,0.01,-0.01
"60","andreadis2009",2023-05-08,0.584,0.902,1.28,1.121,-0.433,0.188,1,0.01,-0.01
"61","simulated_new",2023-06-15,-0.171,0.45,0.551,0.292,0.929,0.863,0.99,0.02,-0.01
"62","roesch2001",2023-06-15,0.437,1.104,1.341,0.71,0.626,0.392,0.99,0.02,-0.01
"63","ellis2010",2023-06-15,0.669,1.317,1.541,0.816,0.198,0.039,0.99,0.02,-0.01
"64","andreadis2009",2023-06-15,0.949,1.384,1.762,0.933,0.087,0.008,0.99,0.02,-0.01
"65","simulated_new",2023-06-21,-0.002,0.692,0.775,0.454,0.806,0.649,0.95,0.04,0.01
"66","roesch2001",2023-06-21,0.811,0.987,1.495,0.876,0.42,0.176,0.95,0.04,0.01
"67","ellis2010",2023-06-21,1.049,1.101,1.656,0.97,0.28,0.078,0.95,0.04,0.01
"68","andreadis2009",2023-06-21,1.113,1.27,1.737,1.018,0.027,0.001,0.95,0.04,0.01
