"runtag","MB","MAE","RMSE","NRMSE","R","R2"
"new_event_set",-0.402958333333333,1.27341666666667,1.57779166666667,0.294875,0.966333333333333,0.934458333333333
"new_event_set",-0.402958333333333,1.27341666666667,1.57779166666667,0.294875,0.966333333333333,0.934458333333333
"new_event_set_add_subl_unld",0.368791666666667,1.17179166666667,1.472375,0.290583333333333,0.963291666666667,0.928958333333333
"new_event_set_add_subl_unld2",0.368791666666667,1.17179166666667,1.472375,0.290583333333333,0.963291666666667,0.928958333333333
"test_LW_adjst_subl",-0.824875,1.3425,1.67341666666667,0.337416666666667,0.964916666666667,0.932166666666667
"test_LW_adjst_timestep",-0.783625,1.33433333333333,1.66325,0.331166666666667,0.9645,0.931291666666667
"test_LW_adjst_timestep_limit_atmLW2",-1.46304166666667,1.729,2.11133333333333,0.439458333333333,0.948625,0.901875
"test_LW_in_eq_vf_4pir",-0.511375,1.302875,1.61375,0.30075,0.9655,0.933125
