"event_type","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation"
"melt",-0.0801111111111111,0.703777777777778,0.896111111111111,0.271222222222222,0.974444444444444,0.950666666666667,1.08777777777778,0.0444444444444444,-0.0511111111111111
"mixed",-0.8925,0.9915,1.2395,0.353,0.979,0.9585,0.265,0.385,0.35
"sublimation",-3.0222,3.0222,3.5104,0.5336,0.9232,0.8536,0,0.394,0.614
"wind",-2.187,2.2585,2.822,0.5915,0.927875,0.863,0.0875,1.50375,-0.54875
