"","name","MB","MAE","RMSE","NRMSE","R","R2"
"1","crhm_updated",0.02,0.314,0.651,1.369,0.705,0.497
"2","roesch2001",0.052,0.342,0.691,1.453,0.632,0.399
"3","crhm_baseline",0.099,0.346,0.788,1.656,0.483,0.233
"4","andreadis2009",0.147,0.394,0.856,1.801,0.334,0.111
