"","name","Mean Bias","MAE","RMS Error","NRMSE","R","r^2"
"1","simulated_baseline",-1.124,2.109,3.799,0.594,0.847,0.718
"2","simulated_updated",0.185,1.706,2.374,0.371,0.932,0.868
