"","name","event_id","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation"
"24","simulated_new",2022-04-21,-0.013,0.285,0.376,0.719,0.496,0.246,0.5,0.08,0.43
"25","roesch2001",2022-04-23,0.009,0.308,0.467,0.619,0.726,0.527,0.8,0.02,0.18
"26","ellis2010",2022-04-23,0.01,0.325,0.49,0.65,0.681,0.464,0.8,0.02,0.18
"27","simulated_new",2022-04-23,-0.001,0.565,0.696,0.923,0.627,0.393,0.8,0.02,0.18
"28","andreadis2009",2022-04-23,0.085,0.545,0.712,0.943,0.116,0.013,0.8,0.02,0.18
"29","simulated_new",2022-06-14,-0.063,0.606,0.958,0.874,0.838,0.702,1.01,0.01,-0.01
"30","roesch2001",2022-06-14,-0.061,0.744,1.12,1.022,0.764,0.584,1.01,0.01,-0.01
"31","ellis2010",2022-06-14,0.023,0.689,1.223,1.116,0.7,0.491,1.01,0.01,-0.01
"32","andreadis2009",2022-06-14,-0.117,1.227,1.642,1.499,0.327,0.107,1.01,0.01,-0.01
"33","simulated_new",2022-06-24,0.04,0.555,0.668,0.469,0.878,0.771,1,0.01,0
"34","roesch2001",2022-06-24,0.266,0.691,0.88,0.618,0.788,0.621,1,0.01,0
"35","ellis2010",2022-06-24,0.454,0.709,1.014,0.712,0.76,0.577,1,0.01,0
"36","andreadis2009",2022-06-24,0.599,0.955,1.229,0.863,0.327,0.107,1,0.01,0
"37","simulated_new",2022-12-01,0.039,0.396,0.779,2.088,0.29,0.084,0,0.68,0.32
"38","roesch2001",2022-12-01,0.073,0.409,0.803,2.15,0.211,0.044,0,0.68,0.32
"39","ellis2010",2022-12-01,0.129,0.406,0.862,2.308,-0.07,0.005,0,0.68,0.32
"40","andreadis2009",2022-12-01,0.151,0.411,0.877,2.349,-0.084,0.007,0,0.68,0.32
"41","roesch2001",2023-02-24,0.75,1.484,2.179,1.274,-0.536,0.287,0,0.7,0.3
"42","simulated_new",2023-02-24,0.929,1.65,2.375,1.389,-0.323,0.104,0,0.7,0.3
"43","ellis2010",2023-02-24,1.57,1.62,2.603,1.522,-0.586,0.344,0,0.7,0.3
"44","andreadis2009",2023-02-24,1.611,1.648,2.629,1.537,-0.581,0.337,0,0.7,0.3
"45","ellis2010",2023-02-26,0.007,0.078,0.085,0.687,0.938,0.879,0,0.56,0.47
"46","andreadis2009",2023-02-26,0.02,0.076,0.088,0.708,0.938,0.88,0,0.56,0.47
"47","simulated_new",2023-02-26,-0.025,0.09,0.094,0.758,0.969,0.938,0,0.56,0.47
"48","roesch2001",2023-02-26,-0.196,0.196,0.205,1.647,0.937,0.878,0,0.56,0.47
"49","simulated_new",2023-03-14,0.007,0.129,0.25,1.303,0.603,0.363,0,0.28,0.73
"50","andreadis2009",2023-03-14,0.008,0.131,0.251,1.31,0.597,0.357,0,0.28,0.73
"51","ellis2010",2023-03-14,0.008,0.137,0.256,1.336,0.563,0.317,0,0.28,0.73
"52","roesch2001",2023-03-14,0.008,0.188,0.306,1.599,0.443,0.196,0,0.28,0.73
"53","roesch2001",2023-04-17,-0.132,0.217,0.24,0.667,0.693,0.48,0,0.27,0.75
"54","simulated_new",2023-04-17,-0.124,0.232,0.276,0.767,0.458,0.21,0,0.27,0.75
"55","andreadis2009",2023-04-17,-0.036,0.279,0.336,0.934,-0.073,0.005,0,0.27,0.75
"56","ellis2010",2023-04-17,-0.122,0.356,0.488,1.357,-0.129,0.017,0,0.27,0.75
"57","simulated_new",2023-05-08,-0.068,0.368,0.453,0.396,0.934,0.872,1,0.01,-0.01
"58","ellis2010",2023-05-08,0.274,0.583,0.895,0.784,0.849,0.721,1,0.01,-0.01
"59","roesch2001",2023-05-08,0.23,0.654,0.914,0.8,0.873,0.763,1,0.01,-0.01
"60","andreadis2009",2023-05-08,0.584,0.902,1.28,1.121,-0.433,0.188,1,0.01,-0.01
"61","simulated_new",2023-06-15,-0.171,0.448,0.554,0.293,0.928,0.862,0.98,0.03,-0.01
"62","roesch2001",2023-06-15,0.437,1.104,1.341,0.71,0.626,0.392,0.98,0.03,-0.01
"63","ellis2010",2023-06-15,0.669,1.317,1.541,0.816,0.198,0.039,0.98,0.03,-0.01
"64","andreadis2009",2023-06-15,0.949,1.384,1.762,0.933,0.087,0.008,0.98,0.03,-0.01
"65","simulated_new",2023-06-21,-0.002,0.69,0.777,0.455,0.805,0.648,0.94,0.05,0.01
"66","roesch2001",2023-06-21,0.811,0.987,1.495,0.876,0.42,0.176,0.94,0.05,0.01
"67","ellis2010",2023-06-21,1.049,1.101,1.656,0.97,0.28,0.078,0.94,0.05,0.01
"68","andreadis2009",2023-06-21,1.113,1.27,1.737,1.018,0.027,0.001,0.94,0.05,0.01
